s_m,kappa_1pm
0.000000000000000000e+00,-6.123460400703203271e-02
7.724856915658258050e-01,-5.697386120895699124e-02
1.544971383131651610e+00,-5.319847637592126088e-02
2.317457074697477637e+00,-4.987731565166038383e-02
3.089942766263303220e+00,-4.697373011120062336e-02
3.862428457829128803e+00,-4.445007027228901897e-02
4.634914149394955274e+00,-4.227039684959581212e-02
5.407399840960780857e+00,-4.040196698305432987e-02
6.179885532526606440e+00,-3.881699195043861184e-02
6.952371224092432023e+00,-3.749428923817963583e-02
7.724856915658257606e+00,-3.640863889443163998e-02
8.497342607224084077e+00,-3.554336596641761992e-02
9.269828298789910548e+00,-3.488563959130924069e-02
1.004231399035573524e+01,-3.442628134466756834e-02
1.081479968192156171e+01,-3.415963177589010497e-02
1.158728537348738641e+01,-3.408349765693341471e-02
1.235977106505321288e+01,-3.419919670819681484e-02
1.313225675661903935e+01,-3.451289367727510687e-02
1.390474244818486405e+01,-3.503779168100588925e-02
1.467722813975069052e+01,-3.578216337178444922e-02
1.544971383131651521e+01,-3.676441333444389892e-02
1.622219952288234168e+01,-3.789606376978482682e-02
1.699468521444816815e+01,-3.739327991823204744e-02
1.776717090601399462e+01,-3.634626133174548995e-02
1.853965659757982110e+01,-3.510672862770389951e-02
1.931214228914564401e+01,-3.369022591453212784e-02
2.008462798071147049e+01,-3.211459753058728411e-02
2.085711367227729696e+01,-3.039894926730558888e-02
2.162959936384312343e+01,-2.856265801574601332e-02
2.240208505540894990e+01,-2.662449994455353894e-02
2.317457074697477282e+01,-2.460194156452978967e-02
2.394705643854059929e+01,-2.251061302197881683e-02
2.471954213010642576e+01,-2.036396214458965209e-02
2.549202782167225223e+01,-1.817307287147526540e-02
2.626451351323807870e+01,-1.594662298708871689e-02
2.703699920480390162e+01,-1.369095279099134636e-02
2.780948489636972809e+01,-1.261186696089649367e-02
2.858197058793555456e+01,-1.225370995831905757e-02
2.935445627950138103e+01,-1.188116073674932473e-02
3.012694197106720750e+01,-1.149534941558450971e-02
3.089942766263303042e+01,-1.109742620956438719e-02
3.167191335419885689e+01,-1.068855111624970010e-02
3.244439904576468336e+01,-1.026988428545989873e-02
3.321688473733050984e+01,-9.842577177285597584e-03
3.398937042889633631e+01,-9.407764586679677812e-03
3.476185612046216278e+01,-8.966557585208300221e-03
3.553434181202798925e+01,-8.520037405049375387e-03
3.630682750359381572e+01,-8.069250267317393949e-03
3.707931319515964219e+01,-7.615203136649656077e-03
3.785179888672546156e+01,-7.158841146661045277e-03
3.862428457829128803e+01,-6.701124278581356911e-03
3.939677026985711450e+01,-6.242930570363644169e-03
4.016925596142294097e+01,-5.785080904653008491e-03
4.094174165298876744e+01,-5.328347895875962595e-03
4.171422734455459391e+01,-4.873456146312966052e-03
4.248671303612042038e+01,-4.421082979808038313e-03
4.325919872768624685e+01,-3.971859578202971940e-03
4.403168441925207333e+01,-3.526372448428098313e-03
4.480417011081789980e+01,-3.085165152108269512e-03
4.557665580238371916e+01,-2.648740234272477841e-03
4.634914149394954563e+01,-2.217561293039273674e-03
4.712162718551537210e+01,-1.792055137770853183e-03
4.789411287708119858e+01,-1.372613988963249793e-03
4.866659856864702505e+01,-9.595976789172724116e-04
4.943908426021285152e+01,-5.533358178949911686e-04
5.021156995177867799e+01,-1.541298959170166280e-04
5.098405564334450446e+01,2.377447044704372183e-04
5.175654133491033093e+01,6.220368042792022304e-04
5.252902702647615740e+01,9.985176483345106248e-04
5.330151271804198387e+01,1.366979260888981362e-03
5.407399840960780324e+01,1.727232944015674645e-03
5.484648410117362971e+01,2.079107922796522966e-03
5.561896979273945618e+01,2.422450138268556798e-03
5.639145548430528265e+01,2.757121186372452157e-03
5.716394117587110912e+01,3.082997398748277967e-03
5.793642686743693559e+01,3.399969059125383056e-03
5.870891255900276207e+01,3.707939747240367179e-03
5.948139825056858854e+01,4.006825800674271125e-03
6.025388394213441501e+01,4.296555883714706960e-03
6.102636963370024148e+01,4.577070651310017127e-03
6.179885532526606085e+01,4.848322495382492367e-03
6.257134101683188732e+01,5.110128453353671683e-03
6.334382670839771379e+01,5.362442711451523812e-03
6.411631239996354736e+01,5.605390903020621846e-03
6.488879809152936673e+01,5.838971005047022787e-03
6.566128378309520031e+01,6.063192428223631268e-03
6.643376947466101967e+01,6.278075998791039607e-03
6.720625516622683904e+01,5.890815765873934351e-03
6.797874085779267261e+01,6.425378887342001561e-04
6.875122654935849198e+01,-4.532641457279064021e-03
6.952371224092432556e+01,-9.770096071007665708e-03
7.029619793249014492e+01,-1.519742522232636443e-02
7.106868362405597850e+01,-2.094672704885848849e-02
7.184116931562179786e+01,-2.715867749021050673e-02
7.261365500718763144e+01,-3.398783768744930572e-02
7.338614069875345081e+01,-4.161771538098295309e-02
7.415862639031928438e+01,-5.018257081759500138e-02
7.493111208188510375e+01,-5.981226304529523030e-02
7.570359777345092311e+01,-7.056716478769295420e-02
7.647608346501675669e+01,-7.310559061434379613e-02
7.724856915658257606e+01,-7.328809458898781493e-02
7.802105484814840963e+01,-7.273444256022082444e-02
7.879354053971422900e+01,-7.147164811080461422e-02
7.956602623128006258e+01,-6.955801731877245264e-02
8.033851192284588194e+01,-6.710030582849366154e-02
8.111099761441171552e+01,-6.422146556030058906e-02
8.188348330597753488e+01,-6.104325192085812563e-02
8.265596899754335425e+01,-5.768080773643275566e-02
8.342845468910918783e+01,-5.423534236617649079e-02
8.420094038067500719e+01,-5.079020086472275930e-02
8.497342607224084077e+01,-4.740980100862011992e-02
8.574591176380666013e+01,-4.414062433799523233e-02
8.651839745537249371e+01,-4.101455321189869524e-02
8.729088314693831308e+01,-3.804961045780094059e-02
8.806336883850414665e+01,-3.525158848508990611e-02
